#Version 6.4.1.1 
#New best, Iteration, Feasible,Objective,[All Resources.TotalCost],[Record Guests],[Record Overflow],[Record Sales],[Record Wait For Dish],[Cook],[Dish Service],[Service],
#, , , ,,,,,,discrete (1 25 1), discrete (1 20 1), discrete (1 25 1), 
*,1,,55048.45,8890,1755.11,21.72,63938.45,0.194472941202368,14,3,9,
,2,,50389.82,12180,1715.94,35.8,62569.82,0.521317609902208,13,11,13,
,3,,4362.85988981245,977.03011018755,145.79,1330.87,5339.89,2.64930474640371,1,1,1,
,4,,41412.49,23100,1771.19,0,64512.49,0.149014165362527,25,20,25,
,5,,1074.25954339273,9585.14045660727,293.34,1201.04,10659.4,5.72101675132157,2,3,23,
,6,,13242.6867152314,8109.52328476862,585.39,929.31,21352.21,2.57139231477639,4,19,4,
,7,,7134.87248621128,14130.4375137887,584.33,938.82,21265.31,3.55022993410252,4,18,22,
,8,,42345.6214469097,15259.5485530903,1579.88,122.51,57605.17,0.792978550742004,19,2,23,
,9,,47783.97,16170,1755.6,17.37,63953.97,0.146048586467245,22,19,9,
,10,,46660.78,18480,1787.46,0.08,65140.78,0.152968839804549,23,11,21,
,11,,36926.4862821441,12717.5537178559,1360.14,290.16,49644.04,0.14614560649074,24,8,6,
,12,,2272.52159010026,8395.26840989974,292.78,1198.99,10667.79,5.71552177444387,2,10,14,
,13,,47141.52,17640,1776.27,6.67,64781.52,0.36275249152839,15,18,21,
,14,,39940.1980756181,13007.2119243819,1450.56,199.51,52947.41,1.00392112855896,10,19,12,
,15,,54336.13,10080,1766.44,18.78,64416.13,0.318408395284768,14,6,10,
,16,,21057.6125630096,8326.47743699044,805.59,756.12,29384.09,2.53867776725367,14,1,9,
,17,,49022.1083567593,8259.54164324072,1571.23,117.92,57281.65,0.485879048396517,14,2,8,
,18,,50669.82,11900,1715.94,35.8,62569.82,0.521317609902208,13,10,13,
,19,,53619.04,10290,1753,18.78,63909.04,0.432538691754633,14,3,13,
,20,,51910.34,10780,1720.1,42.6,62690.34,0.30867995724524,13,11,9,
,21,,21430.584150525,7976.92584947502,806.85,750.49,29407.51,2.51703735712644,14,1,8,
,22,,53037.22,10990,1755.82,19.06,64027.22,0.150232204085613,16,8,9,
,23,,52261.37,11760,1756.55,19.54,64021.37,0.434158266365857,14,7,14,
,24,,53234.12,11690,1781.68,4.74,64924.12,0.260338446452612,18,3,13,
,25,,51927.49,13160,1784.14,9.62,65087.49,0.354852044007808,15,12,13,
,26,,48589.38,13860,1712.64,31.89,62449.38,0.53026093862405,13,12,17,
,27,,50331.02,14630,1783.03,1.28,64961.02,0.240449727483571,17,11,16,
,28,,47902.9,16520,1766.97,0.29,64422.9,0.146980364066994,21,19,11,
,29,,46986.42,17220,1762.52,0.15,64206.42,0.147183344870251,22,19,12,
,30,,46653.67,18200,1779.77,0,64853.67,0.182931181460841,19,15,21,
,31,,50801.59,14560,1792.18,0.82,65361.59,0.241683929850215,17,12,15,
,32,,48624.1446039554,8609.4453960446,1572.24,116.23,57233.59,0.681314376746166,14,2,9,
,33,,55003.31,9240,1761,26.52,64243.31,0.325946706899855,14,3,10,
,34,,54167.86,9730,1750.97,19.39,63897.86,0.186580739721982,14,6,9,
,35,,54771.24,10290,1785.53,6.96,65061.24,0.247696259116397,16,3,11,
,36,,54423.59,9800,1760.17,13.92,64223.59,0.156451319706063,15,5,9,
,37,,54129.57,10150,1762.01,19.46,64279.57,0.390390459334993,14,5,11,
,38,,54359.95,10150,1770.22,5.74,64509.95,0.211793357226993,15,5,10,
,39,,53961.87,10710,1774.16,7.97,64671.87,0.211241721751096,15,7,10,
,40,,53711.81,10570,1762.46,4.98,64281.81,0.324841734263766,15,4,12,
,41,,53259.51,11550,1776.19,1.2,64809.51,0.203886360401372,17,5,12,
,42,,54038.42,10500,1768.79,11.15,64538.42,0.301078955075597,15,5,11,
,43,,2235.25858926731,6085.84141073269,227.73,1273.95,8321.1,0.146182080884696,14,3,1,
,44,,54787.46,9240,1758.65,25.65,64027.46,0.165545275382009,15,3,9,
,45,,54153.34,10220,1767.22,5,64373.34,0.164864707252189,16,4,10,
*,46,,55262.17,9870,1784.33,11.74,65132.17,0.218552045480336,15,4,10,
,47,,45253.31,19670,1779.92,0,64923.31,0.149225929636184,25,14,20,
,48,,54912.92,9590,1772.58,7.35,64502.92,0.222328581441417,15,3,10,
,49,,-7495.91505154477,12807.7850515448,146.53,1332.24,5311.87,6.3590113094339,1,17,22,
,50,,43636.74,21210,1778.11,0.16,64846.74,0.155759347969012,22,17,25,
,51,,347.924966672346,4967.97503332765,145.97,1348.84,5315.9,4.79131430497271,1,14,2,
,52,,3194.44995888766,13362.8200411123,455.37,1050.76,16557.27,0.146204990964812,25,14,2,
,53,,1702.50011627605,8955.17988372396,293.2,1203.37,10657.68,5.72252274406239,2,2,22,
,54,,47176.84,17500,1775.45,0,64676.84,0.154649586220443,23,5,23,
,55,,8423.20602582123,2305.17397417877,292.27,1206.04,10728.38,4.06604439935525,2,2,3,
,56,,49603.69,15120,1773.46,3.21,64723.69,0.254618833508046,16,19,12,
,57,,-1544.74141073269,9865.8414107327,227.73,1273.95,8321.1,0.146182080884696,24,4,1,
,58,,46598.35,16100,1720.15,34.29,62698.35,0.533214407751151,13,10,25,
,59,,53493,10990,1769.7,8.34,64483,0.211361386645225,15,8,10,
,60,,20452.6389026112,9026.08109738883,809.08,738.83,29478.72,2.53933186651874,15,1,10,
,61,,48353.5877513347,8959.50224866535,1573.36,122.96,57313.09,0.686192342985533,15,2,9,
,62,,50163.69,14560,1773.46,3.21,64723.69,0.254618833508046,16,17,12,
,63,,54054.19,10570,1774.85,3.82,64624.19,0.219948967363502,16,4,11,
,64,,53627.4,10850,1769.68,6.18,64477.4,0.330783889891218,15,5,12,
,65,,51489.07,13580,1784.56,1.02,65069.07,0.24050007100071,17,6,17,
,66,,48517.33,16310,1777.4,0.16,64827.33,0.202302514556418,18,17,15,
,67,,51087.49,14000,1784.14,9.62,65087.49,0.354852044007808,15,15,13,
,68,,47565.32,16940,1771.15,2.7,64505.32,0.28865177320997,16,18,18,
,69,,47590.15,17430,1781.92,0,65020.15,0.161402807099294,21,6,24,
,70,,46554.41,18060,1771.87,0,64614.41,0.15290132474278,23,7,23,
,71,,47793.92,16800,1771.98,5.38,64593.92,0.359202929736095,15,10,25,
,72,,48650.64,16030,1774.81,0.29,64680.64,0.203605411290733,18,11,19,
,73,,53948.82,10220,1761.72,6.98,64168.82,0.293981069391169,15,4,11,
,74,,4755.25858926731,3565.84141073269,227.73,1273.95,8321.1,0.146182080884696,6,4,1,
,75,,53588.24,10920,1771.74,1.13,64508.24,0.256123901106342,16,4,12,
,76,,53677.65,10850,1770.96,1.54,64527.65,0.216617324599636,16,5,11,
,77,,52855.32,11900,1778.45,1.45,64755.32,0.284055189569367,16,5,14,
,78,,54003.4,11200,1787.94,3.88,65203.4,0.269833315636987,16,5,12,
,79,,53462.8,11060,1770.45,2.62,64522.8,0.161983084378184,16,7,10,
,80,,11250.4454261133,15460.8845738867,732.26,810.11,26711.33,2.83999637313791,5,19,24,
,81,,9035.63802708653,7552.80197291347,455.5,1063.4,16588.44,0.146322353647428,6,17,2,
